compania,titulo,marca,procesador,ram,tarjeta_grafica,pantalla,almacenamiento,sistema_operativo,precio_normal,precio_oferta,urls
Pc Factory,"Notebook Dell Vostro 14"" HD Intel i5-10210U 8GB 1TB Windows 10 Pro",Marca: Dell,"Procesador: Intel® Core™ i5 10210U, 1,60GHz hasta 4.20GHz (6MB cache)",Memoria RAM: 8GB DDR4 2666MHz SODIMM (Máx. 16GB de Memoria RAM) 2 Slot,Tarjeta Gráfica: Intel® UHD Graphics ,"Pantalla: 14"" / HD 1366 x 768 / WXGA TN LED HD Anti-Glare","Almacenamiento: 1TB 5400RPM SATA 2.5"" HDD",Sistema Operativo: Windows 10 Professional (64 bit), $      679.990, $      659.590,https://www.pcfactory.cl//producto/36482-dell-notebook-dell-vostro-14-hd-intel-i5-10210u-8gb-1tb-windows-10-pro
Pc Factory,Notebook Ultraliviano Matebook D 15 FHD Ryzen 5-3500U 8GB 1TB + 256GB SSD Windows 10 Silver,Marca: Huawei,"Procesador: AMD Ryzen™ 5-3500U, 2.1GHz hasta 3.7GHz (4M Caché)",Memoria RAM: 8GB DDR4 2400MHz (Máx. 8GB de Memoria RAM)  Memoria on-board,Tarjeta Gráfica Integrada: Radeon™ Vega 8,"Pantalla: 15.6"" / FHD 1920x1080 IPS 16:9 ",Almacenamiento: 256GB SSD NVMe PCIe + 1TB HDD,Sistema Operativo: Windows 10 (64bit), $      699.990, $      678.990,https://www.pcfactory.cl//producto/36682-huawei-notebook-ultraliviano-matebook-d-15-fhd-ryzen-5-3500u-8gb-1tb--256gb-ssd-windows-10-silver
Pc Factory,"Notebook Pavilion 13.3"" HD Intel i5-1035G1 8GB + 16GB Optane 256GB SSD Natural Silver Windows 10 13-an1010la",Marca: HP,"Procesador: Intel® Core™ i5-1035G1 1,0 GHz hasta 3,6 GHz (6MB caché)",Memoria Total: 8GB DDR4-2666 de SDRAM (incorporados) + 16GB Intel® Optane™ ,Tarjeta Gráfica: Intel® UHD,"Pantalla: 13.3"" / 1366 x 768 / HD SVA BrightView con micromarco, retroiluminación WLED, 220 nits, 45% NTSC",Almacenamiento: 256GB SSD Intel®,Sistema Operativo: Windows 10 Home , $      719.990, $      698.390,https://www.pcfactory.cl//producto/34788-hp-notebook-pavilion-13-3-hd-intel-i5-1035g1-8gb--16gb-optane-256gb-ssd-natural-silver-windows-10-13-an1010la
Pc Factory,"Notebook Ultraliviano Swift 3 14"" FHD Ryzen 5-4500U 16GB 512GB SSD Windows 10 SL SF314-42-R12B Silver",Marca: Acer,"Procesador: AMD Ryzen™ 5-4500U, 2.30GHz hasta 4.00GHz (8M caché)",Memoria RAM: 16GB LPDDR4X  (Máx. 16GB de Memoria RAM on-board),Tarjeta Gráfica: AMD Radeon™,"Pantalla: 14"" / FHD 1920 x 1080 / Acer CineCrystal™ in-plane Switching (IPS) Technology",Almacenamiento: 512GB SSD,Sistema Operativo: Windows 10 Home SL, $      749.990, $      727.490,https://www.pcfactory.cl//producto/37879-acer-notebook-ultraliviano-swift-3-14-fhd-ryzen-5-4500u-16gb-512gb-ssd-windows-10-sl-sf314-42-r12b-silver
Pc Factory,"Notebook VivoBook 15.6"" FHD Intel i5-1035G1 8GB+32GB Optane 512GB SSD Windows 10 Slate Grey X512JA-EJ332T",Marca: Asus,"Procesador: Intel® Core™ i5-1035G1,  1.0 GHz hasta 3.6 GHz (6M Caché)",Memoria Total: 8GB (4GB DDR4 on board + 4GB DDR4 SO-DIMM) (Máx. 12GB de Memoria RAM)  + 32GB Intel® Optane™,Tarjeta Gráfica: Intel® UHD Graphics,"Pantalla: 15.6"" / FHD (1920 x 1080) 16:9 200nits Anti-glare display",Almacenamiento: 512GB M.2 NVMe™ PCIe® SSD,Sistema Operativo: Windows 10 Home, $      749.990, $      727.490,https://www.pcfactory.cl//producto/37198-asus-notebook-vivobook-15-6-fhd-intel-i5-1035g1-8gb-32gb-optane-512gb-ssd-windows-10-slate-grey-x512ja-ej332t
Pc Factory,"Notebook Yoga Slim 7 14"" FHD Ryzen 5 4500U 8GB 256GB SSD Windows 10 Slate Grey",Marca: Lenovo,"Procesador:  Ryzen 5 4500U, 2.3GHz hasta 4.0GHz (8MB Cache)",Memoria RAM: 8GB Onboard (Máx. 16GB de Memoria RAM)  ,Tarjeta Gráfica: AMD Radeon™ Graphics,"Pantalla: 14"" FHD IPS 300nits/ 1920 x 1080",Almacenamiento: SSD 256GB M.2 2280 NVME TLC,Sistema Operativo: Windows 10 Home, $      749.990, $      727.490,https://www.pcfactory.cl//producto/37224-lenovo-notebook-yoga-slim-7-14-fhd-ryzen-5-4500u-8gb-256gb-ssd-windows-10-slate-grey
Pc Factory,"Notebook Ultraviano Vivobook S433FA 14"" FHD Intel i5-10210U 8GB + 32GB Optane 512GB SSD Windows 10 + Microsoft 365 S433FA-EB049TS",Marca: Asus,"Procesador: Intel® Core™ i5-10210U, 1.6 GHz hasta 4.2GHz (6M Caché)",Memoria Total: 8GB 2666 MHz (on board) + 32GB Memoria Intel Optane (Máx. 8GB de Memoria RAM) 1 Slot,Tarjeta Gráfica: Intel® UHD Graphics,"Pantalla: 14"" / FHD 1920 x 1080 / 16:9 Anti-Glare NTSC: 45% Wide View / 250nits ",Almacenamiento: 512GB M.2 SSD PCIEG,Sistema Operativo: Windows 10 (64bit), $      749.990, $      727.490,https://www.pcfactory.cl//producto/36672-asus-notebook-ultraviano-vivobook-s433fa-14-fhd-intel-i5-10210u-8gb--32gb-optane-512gb-ssd-windows-10--microsoft-365-s433fa-eb049ts
Pc Factory,"Notebook Dell Inspiron 15.6"" FHD Intel i5-1035-G1 8GB 256GB SSD NVIDIA MX230 2GB Windows 10",Marca: Dell,"Procesador: Intel® Core™ i5 1035-G1, base 1,00 GHz hasta 3,60GHz (6MB cache)","Memoria RAM: 8GB, DDR4, 2666MHz (Máx. 16GB de Memoria RAM) 2 SODIMM Slot",Tarjeta Gráfica: Nvidia® MX 230 2GB GDDR5,"Pantalla: 15.6” / FHD 1920x1080 Borde Delgado, Anti-reflejo",Almacenamiento: 256GB SSD M.2 PCIE 35 de 2.5”,Sistema Operativo: Windows 10 (64 bit), $      779.990, $      740.990,https://www.pcfactory.cl//producto/35721-dell-notebook-dell-inspiron-15-6-fhd-intel-i5-1035-g1-8gb-256gb-ssd-nvidia-mx230-2gb-windows-10
Pc Factory,"Notebook Gamer Dell G3 Intel i5-9300H NVIDIA GTX 1050 3GB 15.6"" FHD 8GB 256GB SSD Windows 10",Marca: Dell,"Procesador: Intel® Core™ i5-9300H, 2,40GHz hasta 4,10GHz (8MB cache)",Memoria: 8GB (2x4GB) DDR4 2666MHz (Máx. 32GB de Memoria RAM) 2 Slot,Tarjeta Gráfica: NVIDIA GeForce GTX 1050 (3GB GDDR5),"Pantalla: 15.6""  FHD Anti-glare LED Narrow Border / 1920 x 1080",Almacenamiento: SSD 256GB M.2 PCIe NVMe ,Sistema Operativo: Windows 10 Home (64 bit), $      769.990, $      746.890,https://www.pcfactory.cl//producto/36865-dell-notebook-gamer-dell-g3-intel-i5-9300h-nvidia-gtx-1050-3gb-15-6-fhd-8gb-256gb-ssd-windows-10
Pc Factory,"Notebook Ideapad 3i 15.6"" FHD Intel i7-1065G7 8GB 256GB SSD WiFi 6 Iris Plus Windows 10 Platinum Grey",Marca: Lenovo,"Procesador:  Intel® Core™ i7 1065G7, 1,30GHz hasta 3,90GHz (8M Cache)",Memoria RAM: 8GB DDR4 2667Mhz (Máx. 12GB de Memoria RAM) 1 Slot,Tarjeta Gráfica: Intel® Iris® Plus,"Pantalla: 15.6"" FHD TN  AG 220N / 1920 x 1080",Almacenamiento: SSD 256GB M.2 2242 NVME TLC,Sistema Operativo: Windows 10 Home, $      769.990, $      746.890,https://www.pcfactory.cl//producto/37225-lenovo-notebook-ideapad-3i-15-6-fhd-intel-i7-1065g7-8gb-256gb-ssd-wifi-6-iris-plus-windows-10-platinum-grey
