compania,titulo,marca,procesador,ram,tarjeta_grafica,pantalla,almacenamiento,sistema_operativo,precio_normal,precio_oferta,urls
Pc Factory,"VivoBook 15.6"" FHD Intel i5-1035G1 8GB+32GB Optane 512GB SSD Windows 10 Slate Grey X512JA-EJ332T",Asus,"Intel® Core™ i5-1035G1,  1.0 GHz hasta 3.6 GHz (6M Caché)",8.0,Intel® UHD Graphics,15.6,512.0,Windows 10 Home,749990,727490,https://www.pcfactory.cl//producto/37198-asus-notebook-vivobook-15-6-fhd-intel-i5-1035g1-8gb-32gb-optane-512gb-ssd-windows-10-slate-grey-x512ja-ej332t
Pc Factory,"Yoga Slim 7 14"" FHD Ryzen 5 4500U 8GB 256GB SSD Windows 10 Slate Grey",Lenovo,"Ryzen 5 4500U, 2.3GHz hasta 4.0GHz (8MB Cache)",8.0,AMD Radeon™ Graphics,14.0,256.0,Windows 10 Home,749990,727490,https://www.pcfactory.cl//producto/37224-lenovo-notebook-yoga-slim-7-14-fhd-ryzen-5-4500u-8gb-256gb-ssd-windows-10-slate-grey
Pc Factory,"Ultraviano Vivobook S433FA 14"" FHD Intel i5-10210U 8GB + 32GB Optane 512GB SSD Windows 10 + Microsoft 365 S433FA-EB049TS",Asus,"Intel® Core™ i5-10210U, 1.6 GHz hasta 4.2GHz (6M Caché)",8.0,Intel® UHD Graphics,14.0,512.0,Windows 10 (64bit),749990,727490,https://www.pcfactory.cl//producto/36672-asus-notebook-ultraviano-vivobook-s433fa-14-fhd-intel-i5-10210u-8gb--32gb-optane-512gb-ssd-windows-10--microsoft-365-s433fa-eb049ts
Pc Factory,"Dell Inspiron 15.6"" FHD Intel i5-1035-G1 8GB 256GB SSD NVIDIA MX230 2GB Windows 10",Dell,"Intel® Core™ i5 1035-G1, base 1,00 GHz hasta 3,60GHz (6MB cache)",8.0,Nvidia® MX 230 2GB GDDR5,15.6,256.0,Windows 10 (64 bit),779990,740990,https://www.pcfactory.cl//producto/35721-dell-notebook-dell-inspiron-15-6-fhd-intel-i5-1035-g1-8gb-256gb-ssd-nvidia-mx230-2gb-windows-10
Pc Factory,"Gamer Dell G3 Intel i5-9300H NVIDIA GTX 1050 3GB 15.6"" FHD 8GB 256GB SSD Windows 10",Dell,"Intel® Core™ i5-9300H, 2,40GHz hasta 4,10GHz (8MB cache)",8.0,NVIDIA GeForce GTX 1050 (3GB GDDR5),15.6,256.0,Windows 10 Home (64 bit),769990,746890,https://www.pcfactory.cl//producto/36865-dell-notebook-gamer-dell-g3-intel-i5-9300h-nvidia-gtx-1050-3gb-15-6-fhd-8gb-256gb-ssd-windows-10
Pc Factory,"Ideapad 3i 15.6"" FHD Intel i7-1065G7 8GB 256GB SSD WiFi 6 Iris Plus Windows 10 Platinum Grey",Lenovo,"Intel® Core™ i7 1065G7, 1,30GHz hasta 3,90GHz (8M Cache)",8.0,Intel® Iris® Plus,15.6,256.0,Windows 10 Home,769990,746890,https://www.pcfactory.cl//producto/37225-lenovo-notebook-ideapad-3i-15-6-fhd-intel-i7-1065g7-8gb-256gb-ssd-wifi-6-iris-plus-windows-10-platinum-grey
Pc Factory,"Ultraliviano Dell 13.3"" FHD  Intel i5-10210U 8GB 256GB SSD Windows 10",Dell,"Intel® Core™ i5-10210U, hasta 4.40GHz (6MB cache)",8.0,Intel® UHD Graphics,13.3,256.0,Windows 10 (64 bit),779990,756590,https://www.pcfactory.cl//producto/35561-dell-notebook-ultraliviano-dell-13-3-fhd-intel-i5-10210u-8gb-256gb-ssd-windows-10
Pc Factory,"X571 Intel i5-9300H NVIDIA GTX1650 4GB 15.6"" FHD 8GB + 32GB Optane 512GB SSD Windows 10 Black X571GT-BQ768T",Asus,"Intel® Core™ i5-9300H, 2.4GHz hasta 4.1GHz (8M Caché)",8.0,NVIDIA® GeForce® GTX 1650 4GB GDDR5,15.6,512.0,Windows 10 (64bit),799990,775990,https://www.pcfactory.cl//producto/37729-asus-notebook-x571-intel-i5-9300h-nvidia-gtx1650-4gb-15-6-fhd-8gb--32gb-optane-512gb-ssd-windows-10-black-x571gt-bq768t
Pc Factory,"Matebook 13"" FHD Ryzen 5 3500U 8GB 512GB SSD Windows 10 Space Gray",Huawei,"AMD Ryzen 5 3500U, 2.1GHz hasta 3.7GHz (4MB caché)",8.0,Radeon™ Vega 8,13.0,512.0,Windows 10 Home (64bit),799990,775990,https://www.pcfactory.cl//producto/38385-huawei-notebook-matebook-13-fhd-ryzen-5-3500u-8gb-512gb-ssd-windows-10-space-gray
Pc Factory,"VivoBook X413 14"" FHD Intel i7-1165G7 8GB + 32GB Optane 512GB SSD Intel Iris Xᵉ White X413EA-EB283T",Asus,"Intel® Core™ i7-1165G7, 2.8GHz hasta 4.7GHz (12M Caché)",8.0,Tarjeta Gráfica Integrada: Intel Iris Xᵉ Graphics,14.0,512.0,Windows 10 Home,849990,824490,https://www.pcfactory.cl//producto/39035-asus-notebook-vivobook-x413-14-fhd-intel-i7-1165g7-8gb--32gb-optane-512gb-ssd-intel-iris-x-white-x413ea-eb283t
