compania,titulo,marca,procesador,ram,tarjeta_grafica,pantalla,almacenamiento,sistema_operativo,precio_normal,precio_oferta,urls
Falabella,"Notebooks Aspire 3 Intel Core i3 12GB RAM 512GB SSD 15.6"" ",Acer,intel core i3,12.0,uhd graphics,15.6,512.0,windows 10 home,539990.0,499990.0,https://www.falabella.com/falabella-cl/product/13766424/Notebooks-Aspire-3-Intel-Core-i3-12GB-RAM-512GB-SSD-15.6-/13766424
Falabella,Notebook Portage  I5 8Gb Ram Reacondicionado 133 ,Toshiba,intel core i5,8.0,intel hd graphics 520,13.3,128.0,windows 10 home,479990.0,429990.0,https://www.falabella.com/falabella-cl/product/14683552/Notebook-Portage-I5-8Gb-Ram-Reacondicionado-133/14683552
Falabella,"Notebook Pavilion Gaming 15-dk0007la Intel Core i7 16GB RAM 1TB+128GB SSD NVIDIA GeForce GTX 1660 Ti  15.6"" ",Hp,intel core i7,16.0,nvidia geforce gtx 1660 ti,15.6,128.0,windows 10 home,1449990.0,1399990.0,https://www.falabella.com/falabella-cl/product/8618720/Notebook-Pavilion-Gaming-15-dk0007la-Intel-Core-i7-16GB-RAM-1TB+128GB-SSD-NVIDIA-GeForce-GTX-1660-Ti-15.6-/8618720
Falabella,Ntbk Lenovo V14  I5-1035G1/4Gb/256Gb/14/Freedos ,Lenovo,intel core i5,4.0,n/a,14.0,256.0,windows 10 home,699990.0,499990.0,https://www.falabella.com/falabella-cl/product/14687927/Ntbk-Lenovo-V14-I5-1035G1-4Gb-256Gb-14-Freedos/14687927
Falabella,"Notebook 240 G7 Intel Celeron N4020 RAM 4GB HDD 500GB 14""  W10H ",Hp,intel celeron,4.0,intel iris plus graphics&nbsp;645,14.0,512.0,windows 10 home,499990.0,369990.0,https://www.falabella.com/falabella-cl/product/13209082/Notebook-240-G7-Intel-Celeron-N4020-RAM-4GB-HDD-500GB-14-W10H/13209082
Falabella,"MacBook Pro de 13 pulgadas con Touch Bar: Intel Core i5 de cuatro núcleos a 1,4 GHz de octava generación, 512 GB - Silver ",Apple,intel core i5,8.0,uhd graphics,13.3,512.0,macos,1749990.0,1699990.0,"https://www.falabella.com/falabella-cl/product/11062847/MacBook-Pro-de-13-pulgadas-con-Touch-Bar:-Intel-Core-i5-de-cuatro-nucleos-a-1,4-GHz-de-octava-generacion,-512-GB-Silver/11062847"
Falabella,"Notebook Ideapad S340 Intel Core i5 8GB RAM, 512GB SSD 14"" ",Lenovo,intel core i5,8.0,iris plus graphics,14.0,512.0,windows 10,639990.0,599990.0,"https://www.falabella.com/falabella-cl/product/9173619/Notebook-Ideapad-S340-Intel-Core-i5-8GB-RAM,-512GB-SSD-14-/9173619"
Falabella,Ntbk Lenovo V330 I7-8550U/4Gb/1Tb/14/Freedos ,Lenovo,intel core i7,4.0,n/a,14.0,512.0,linux,899990.0,629990.0,https://www.falabella.com/falabella-cl/product/14524444/Ntbk-Lenovo-V330-I7-8550U-4Gb-1Tb-14-Freedos/14524444
Falabella,"Notebook Intel Core i7-10510U 8GB RAM + 32GB Intel Optane 512GB SSD 13,3"" ",Hp,intel core i7,8.0,intel® uhd,13.3,256.0,windows 10 home,1069990.0,1019990.0,"https://www.falabella.com/falabella-cl/product/8116883/Notebook-Intel-Core-i7-10510U-8GB-RAM-+-32GB-Intel-Optane-512GB-SSD-13,3-/8116883"
Falabella,"Notebook Pavilion Gaming Intel Core i5-10300H 8GB RAM + 32GB Intel Optane 512GB SSD NVIDIA GeForce GTX 1650 16.1"" ",Hp,intel core i5,8.0,nvidia geforce gtx 1650,16.0,512.0,windows 10 home,999990.0,949990.0,https://www.falabella.com/falabella-cl/product/14449258/Notebook-Pavilion-Gaming-Intel-Core-i5-10300H-8GB-RAM-+-32GB-Intel-Optane-512GB-SSD-NVIDIA-GeForce-GTX-1650-16.1-/14449258
