compania,titulo,marca,procesador,ram,tarjeta_grafica,pantalla,almacenamiento,sistema_operativo,precio_normal,precio_oferta,urls
Falabella,"Notebook Pavilion Gaming Intel Core i5-10300H 8GB RAM + 32GB Intel Optane 512GB SSD NVIDIA GeForce GTX 1650 16.1"" ",Hp,Intel Core i5,8GB,NVIDIA GeForce GTX 1650,16 pulgadas,512Gb,Windows 10 Home,,$  949.990 ,https://www.falabella.com/falabella-cl/product/14449258/Notebook-Pavilion-Gaming-Intel-Core-i5-10300H-8GB-RAM-+-32GB-Intel-Optane-512GB-SSD-NVIDIA-GeForce-GTX-1650-16.1-/14449258
Falabella,"Notebook AMD Ryzen 7 8GB RAM 512GB SSD 15.6"" ",Hp,AMD Ryzen R7,8GB,Gráficas AMD Radeon RX Vega 10,15.6 pulgadas,512Gb,Windows 10 Home,,$  709.990 ,https://www.falabella.com/falabella-cl/product/14624666/Notebook-AMD-Ryzen-7-8GB-RAM-512GB-SSD-15.6-/14624666
Falabella,"Notebook Gamer ROG Zephyrus Duo GX550  Intel Core i9-10980HK 32GB RAM 2TB SSD NVIDIA GeForce RTX 2080 15.6"" ",Asus,Intel Core i9,32GB,NVIDIA GeForce RTX 2080,15.6 pulgadas,2Tb,Windows 10,,$  3.999.990 ,https://www.falabella.com/falabella-cl/product/11478492/Notebook-Gamer-ROG-Zephyrus-Duo-GX550-Intel-Core-i9-10980HK-32GB-RAM-2TB-SSD-NVIDIA-GeForce-RTX-2080-15.6-/11478492
Falabella,"Notebook Matebook 13 AMD Ryzen 5 8GB RAM 512GB SSD 13.3"" ",Huawei,AMD Ryzen R5,512MB,Radeon? Vega 8 Graphics,13 pulgadas,512Gb,Windows 10 Home,,$  799.990 ,https://www.falabella.com/falabella-cl/product/12365142/Notebook-Matebook-13-AMD-Ryzen-5-8GB-RAM-512GB-SSD-13.3-/12365142
Falabella,"Notebook ZenBook UX434 Intel Core i5 16GB RAM 512G SSD NVIDIA GeForce MX250 14"" ",Asus,Intel Core i5,16GB,No aplica,14 pulgadas,512Gb,Windows 10 Home,$  1.149.990 ,$  1.049.990 (Oferta),https://www.falabella.com/falabella-cl/product/8475029/Notebook-ZenBook-UX434-Intel-Core-i5-16GB-RAM-512G-SSD-NVIDIA-GeForce-MX250-14-/8475029
Falabella,"Macbook Air 13"" Intel Core i5 8GB RAM 512GB SSD Gold ",Apple,Intel Core i5,8GB,Intel Iris Plus Graphics,13.3 pulgadas,512Gb,macOS,,$  1.449.990 ,https://www.falabella.com/falabella-cl/product/9062149/Macbook-Air-13-Intel-Core-i5-8GB-RAM-512GB-SSD-Gold/9062149
Falabella,Notebook Hp 240 G7 N4020 4Gb 500Gb Win10H ,Hp,Intel Celeron,4GB,NA,14 pulgadas,No Aplica,,,$  349.990 ,https://www.falabella.com/falabella-cl/product/14630164/Notebook-Hp-240-G7-N4020-4Gb-500Gb-Win10H/14630164
Falabella,"Notebook Gamer Legion Y540 Core I5 8GB RAM-1TB SSD NVIDIA GeForce GTX 1650 15,6"" ",Lenovo,Intel Core i5,8GB,NVIDIA GeForce GTX 1650,15.6 pulgadas,1Tb,Windows 10 Home,,$  999.990 ,"https://www.falabella.com/falabella-cl/product/7369686/Notebook-Gamer-Legion-Y540-Core-I5-8GB-RAM-1TB-SSD-NVIDIA-GeForce-GTX-1650-15,6-/7369686"
Falabella,"Notebook VivoBook S433 Intel Core i7-10510U 8GB RAM + 32GB Intel Optane 512Gb SSD 14"" + Microsoft 365 Personal ",Asus,Intel Core i7,8GB,No aplica,14 pulgadas,512Gb,Windows 10 Home,$  949.990 ,$  849.990 (Oferta),https://www.falabella.com/falabella-cl/product/8474909/Notebook-VivoBook-S433-Intel-Core-i7-10510U-8GB-RAM-+-32GB-Intel-Optane-512Gb-SSD-14-+-Microsoft-365-Personal/8474909
Falabella,Notebook Vivobook F512Ja I3 128Gb Ssd 8Gb 15.6 ,Asus,Intel Core i3,8GB,INTEL UHD GRAPHICS G1,15.6 pulgadas,128Gb,,,$  579.990 ,https://www.falabella.com/falabella-cl/product/14592465/Notebook-Vivobook-F512Ja-I3-128Gb-Ssd-8Gb-15.6/14592465
